gran,gamma,n_tiny_buckets,n_large_buckets,tiny_pairs,n_cts_tiny,large_cost_hrs,tiny_cost_hrs,total_cost_hrs,baseline_total_hrs,speedup_vs_baseline
coarse,0,16,94,25708,1,444834.36604444444,0.09722222222222222,444834.4632666667,444835.9290666667,1.000003295158359
coarse,1,16,94,25708,1,444834.36604444444,0.09725333333333334,444834.46329777775,444835.9290666667,1.0000032950884201
coarse,5,16,94,25708,1,444834.36604444444,0.09737777777777779,444834.4634222222,444835.9290666667,1.0000032948086648
coarse,15,16,94,25708,1,444834.36604444444,0.0976888888888889,444834.46373333334,444835.9290666667,1.0000032941092762
coarse,30,16,94,25708,1,444834.36604444444,0.09815555555555557,444834.4642,444835.9290666667,1.0000032930601934
medium,0,209380,6817,269901954,8237,3676.2282666666665,800.8194444444445,4477.047711111111,24130.327822222225,5.389785720249467
medium,1,209380,6817,269901954,8237,3676.2282666666665,801.0757066666667,4477.3039733333335,24130.327822222225,5.38947723137442
medium,5,209380,6817,269901954,8237,3676.2282666666665,802.1007555555556,4478.329022222222,24130.327822222225,5.388243628925761
medium,15,209380,6817,269901954,8237,3676.2282666666665,804.6633777777778,4480.891644444445,24130.327822222225,5.3851620920447365
medium,30,209380,6817,269901954,8237,3676.2282666666665,808.5073111111112,4484.7355777777775,24130.327822222225,5.380546389800532
fine,0,1380502,25,102058747,3115,4.884444444444444,302.84722222222223,307.7316666666667,134864.59093333333,438.25386056033665
fine,1,1380502,25,102058747,3115,4.884444444444444,302.94413333333335,307.8285777777778,134864.59093333333,438.11588874211805
fine,5,1380502,25,102058747,3115,4.884444444444444,303.33177777777775,308.2162222222222,134864.59093333333,437.5648691070411
fine,15,1380502,25,102058747,3115,4.884444444444444,304.3008888888889,309.18533333333335,134864.59093333333,436.19336492891
fine,30,1380502,25,102058747,3115,4.884444444444444,305.7545555555556,310.63900000000007,134864.59093333333,434.1521538935334
